director_name,actor_1_name
Rawson Marshall Thurber,Dwayne Johnson
Steven Soderbergh,Julia Roberts
Donald Petrie,Matthew McConaughey
Neil Jordan,Brad Pitt
Peyton Reed,Bradley Cooper
Jaume Collet-Serra,Liam Neeson
Chris Columbus,Julia Roberts
Tom Dey,Bradley Cooper
Spike Lee,Denzel Washington
Glenn Ficarra,Ryan Gosling
Brian Helgeland,Bill Duke
Alex Proyas,Nicolas Cage
Hideo Nakata,Naomi Watts
Cameron Crowe,Scarlett Johansson
Bennett Miller,Philip Seymour Hoffman
Peter Hewitt,Bill Murray
Joe Roth,Jamie Lee Curtis
James McTeigue,Natalie Portman
Wolfgang Petersen,Kevin Spacey
Andy Fickman,Dwayne Johnson
Angela Robinson,Scoot McNairy
David Dobkin,Fann Wong
Matthew O'Callaghan,Will Ferrell
Jon Hurwitz,Alyson Hannigan
Tommy Wirkola,Jeremy Renner
D.J. Caruso,Alex Pettyfer
Gary Fleder,Oliver Platt
Adrian Lyne,Olivier Martinez
Alexander Witt,Milla Jovovich
Jorge R. Gutiérrez,Channing Tatum
Clint Eastwood,Clint Eastwood
Richard Loncraine,Jimmy Bennett
David Fincher,Deborah Kara Unger
Ridley Scott,Viggo Mortensen
Steven Quale,Matt Walsh
David Dobkin,Robert Downey Jr.
Christophe Gans,Radha Mitchell
Howard Deutch,Keanu Reeves
F. Gary Gray,Kevin Spacey
John Landis,Louis Lombardi
Joe Dante,Christopher Lee
Mimi Leder,Armin Mueller-Stahl
Carl Franklin,Denzel Washington
Beeban Kidron,Colin Firth
Danny Boyle,Leonardo DiCaprio
Robert Rodriguez,Taylor Lautner
Steven Seagal,Mike Starr
James McTeigue,Shô Kosugi
Garry Marshall,Amber Valletta
Sam Raimi,J.K. Simmons
Tom Dey,Emma Stone
Andrew Bergman,Demi Moore
Clint Eastwood,Matt Damon
Barbet Schroeder,Ryan Gosling
Richard Donner,Muse Watson
Ben Stiller,Milla Jovovich
Peter Webber,Li Gong
Rob Reiner,Bruce Willis
Andrew Niccol,J.D. Evermore
John McTiernan,Connie Nielsen
Jaume Collet-Serra,Liam Neeson
Clint Eastwood,Clint Eastwood
Tom Tykwer,Naomi Watts
John Carpenter,Steve Buscemi
Wes Anderson,Bill Murray
David Gordon Green,Natalie Portman
Jim Sheridan,Naomi Watts
Gary Ross,Matthew McConaughey
Mark Neveldine,Gerard Butler
Alan Parker,Kevin Spacey
Richard LaGravenese,Alden Ehrenreich
John Stockwell,Paul Walker
David Cronenberg,Viggo Mortensen
Patrick Read Johnson,Joe Mantegna
Luc Besson,Paul Brooke
Doug Liman,Naomi Watts
Patrick Lussier,Nicolas Cage
Costa-Gavras,Mia Kirshner
Roland Joffé,Gary Oldman
Tony Scott,Ian Ziering
William Friedkin,Michael Biehn
Andrzej Bartkowiak,Chris Klein
Danny DeVito,Robin Williams
George Armitage,Morgan Freeman
Mike Nichols,Judy Greer
Daniel Espinosa,Tom Hardy
James Wong,Jason Statham
Neill Blomkamp,Hugh Jackman
Renny Harlin,Lauren Holly
Joe Wright,Kelly Macdonald
Steven Spielberg,Harrison Ford
Steven Soderbergh,Michael O'Neill
David Fincher,Kristen Stewart
Olivier Megaton,Liam Neeson
John McTiernan,Mark Margolis
Phillip Noyce,Denzel Washington
David O. Russell,Judy Greer
Chuck Bowman,P.J. Soles
Jerry Zucker,Corinna Harney
James Mangold,Christian Bale
Iain Softley,Kevin Spacey
James Mangold,Hugh Jackman
Harold Ramis,Brendan Fraser
Steven Soderbergh,Don Cheadle
Francis Ford Coppola,Nicolas Cage
Brad Furman,Joseph Gilgun
Warren Beatty,Charlie Korsmo
Ben Stiller,Matthew Broderick
Deepa Mehta,Nandita Das
Penny Marshall,Rosie Perez
Paul Bolger,Sarah Michelle Gellar
Andrei Tarkovsky,Donatas Banionis
Jimmy Hayward,Michael Fassbender
Stephen Frears,Julia Roberts
P.J. Hogan,Julia Roberts
Joe Roth,Julia Roberts
Jonathan Frakes,LeVar Burton
Christopher Nolan,Al Pacino
Edward Zwick,Denzel Washington
Terence Young,Laurence Olivier
Tom Shadyac,Maura Tierney
John Lasseter,Kevin Spacey
Olivier Megaton,Liam Neeson
Brian Levant,Jonathan Winters
David Zucker,Regina Hall
Donald Petrie,Candice Bergen
Eric Brevig,Josh Hutcherson
Alan J. Pakula,Denzel Washington
Garry Marshall,Anne Hathaway
Rob Reiner,Morgan Freeman
Joel Schumacher,Bradley Whitford
James Bobin,Bill Cobbs
Phillip Noyce,Harrison Ford
Robert Luketic,Adam Scott
Antoine Fuqua,Denzel Washington
Dean Parisot,Alan Rickman
Keenen Ivory Wayans,Natasha Lyonne
Thomas Carter,Channing Tatum
Andy Tennant,Gerard Butler
Roger Michell,Sydney Pollack
Luis Llosa,Frank Welker
Len Wiseman,Sophia Myles
David McNally,Adam Garcia
Richard Curtis,Colin Firth
Luis Llosa,Sylvester Stallone
Ron Shelton,Don Johnson
Melville Shavelson,Lucille Ball
Jesse Dylan,Josh Hutcherson
Garth Jennings,Zooey Deschanel
Russell Mulcahy,Milla Jovovich
Joel Zwick,Dania Ramirez
Oliver Stone,Demián Bichir
Curtis Hanson,Meryl Streep
Frank Coraci,Bella Thorne
Wayne Wang,LL Cool J
Richard Donner,Bruce Willis
Frank Oz,Steve Coogan
David R. Ellis,Richard Burgi
John A. Davis,Nicolas Cage
Peter Howitt,Kevin McNally
David Lynch,Virginia Madsen
John Schultz,Malese Jow
Julie Taymor,Jim Sturgess
Sam Mendes,Leonardo DiCaprio
Mathieu Kassovitz,Vin Diesel
John Gray,Alexa PenaVega
Harold Ramis,John de Lancie
Sean Penn,Costas Mandylor
Roman Polanski,Jim Belushi
Billy Bob Thornton,Matt Damon
Danny Pang,Nicolas Cage
Oliver Stone,Anthony Hopkins
Pete Travis,Wood Harris
Stephen Sommers,Djimon Hounsou
Oliver Parker,Daniel Kaluuya
Spike Lee,Joseph Gordon-Levitt
Barry Sonnenfeld,Zooey Deschanel
Mike Newell,Marcela Mar
Norman Ferguson,Mel Blanc
George P. Cosmatos,Sam Waterston
Lawrence Kasanoff,Jerry Stiller
Ben Affleck,Clea DuVall
Andrew Davis,Harrison Ford
George P. Cosmatos,Sylvester Stallone
Barry Levinson,Robert De Niro
Burr Steers,Augustus Prew
Brian Gibson,Joseph Gordon-Levitt
Evan Goldberg,James Franco
Michael Cimino,Jeff Bridges
Paul Feig,Michael Rapaport
Gus Van Sant,F. Murray Abraham
Betty Thomas,Steve Buscemi
Roger Kumble,Judith Chapman
Simon West,Jason Statham
Sydney Pollack,Tom Cruise
Phil Lord,Channing Tatum
Roger Michell,Julia Roberts
Peter Lord,Imelda Staunton
John Hamburg,Philip Seymour Hoffman
Reginald Hudlin,John Witherspoon
Larry Charles,Bono
Joseph L. Mankiewicz,Martin Landau
Frank Coraci,Salma Hayek
Carl Franklin,Morgan Freeman
Barbra Streisand,Jeff Bridges
Catherine Hardwicke,Gary Oldman
Mark Pellington,Debra Messing
John Glen,Robert Davi
John Herzfeld,Robert De Niro
Andrew Niccol,Nicolas Cage
Annabel Jankel,Bob Hoskins
Asger Leth,Robert Clohessy
Sngmoo Lee,Tony Cox
,Tim Conway
Jean-Pierre Jeunet,Omar Sy
Curtis Hanson,Mekhi Phifer
Brian Helgeland,Heath Ledger
Gordon Chan,Julian Sands
David Frankel,Joel McHale
M. Night Shyamalan,Bruce Willis
Sam Taylor-Johnson,Jennifer Ehle
Anne Fletcher,Ryan Reynolds
David O. Russell,Jennifer Lawrence
Shawn Levy,Tom Welling
Luc Besson,Scarlett Johansson
Peter Berg,Jerry Ferrara
Robert Zemeckis,Lea Thompson
Bruce Beresford,Bruce Greenwood
Robert Rodriguez,Sylvester Stallone
Joel Schumacher,Kevin Spacey
Penny Marshall,Tom Hanks
Brian Helgeland,Harrison Ford
Nora Ephron,Meryl Streep
Ken Kwapis,Carmen Perez
Tim Story,Olivia Munn
David Zucker,Beau Mirchoff
Etan Cohen,Will Ferrell
Wes Craven,Kelly Rutherford
Robert Zemeckis,Lea Thompson
Bobby Farrelly,Bill Murray
Nick Cassavetes,Don Johnson
Francis Ford Coppola,Keanu Reeves
Frank Marshall,Paul Walker
Anthony Minghella,Philip Seymour Hoffman
Nancy Meyers,Robert De Niro
Michael Mann,Wes Studi
Taylor Hackford,Bokeem Woodbine
Steven Spielberg,Tom Hanks
Pete Travis,Dennis Quaid
John Hamburg,J.K. Simmons
Bobby Farrelly,Jason Alexander
Oliver Stone,Sally Kirkland
John Whitesell,Chloë Grace Moretz
Gore Verbinski,J.K. Simmons
David R. Ellis,Krista Allen
Burr Steers,Matthew Perry
Nicholas Stoller,Pink
Mathieu Kassovitz,Robert Downey Jr.
John Moore,Joaquim de Almeida
Brad Furman,Matthew McConaughey
Peter Chelsom,Lisa Ann Walter
Cal Brunker,Brendan Fraser
Joe Dante,Kirsten Dunst
Mark A.Z. Dippé,Michael Jai White
Sean Anders,Kevin Spacey
Kevin Reynolds,Henry Cavill
Christopher Nolan,Christian Bale
Alejandro Agresti,Keanu Reeves
Nimród Antal,Topher Grace
Peter Hedges,Jennifer Garner
John Glen,Joe Don Baker
Mel Gibson,Rudy Youngblood
Marc Lawrence,Brad Garrett
Ivan Reitman,Brian Dennehy
David Koepp,Johnny Depp
Iain Softley,Gena Rowlands
Clint Eastwood,Johnny Cannizzaro
Paul Weiland,Busy Philipps
Francis Ford Coppola,Matt Damon
John McTiernan,Lorraine Bracco
Steven Spielberg,Anthony Hopkins
Seth MacFarlane,Liam Neeson
Steven Quale,Emma Bell
Bobby Farrelly,Jimmy Fallon
Colin Strause,Sam Trammell
Jake Kasdan,James Wilcox
Wes Craven,Alison Brie
Donald Petrie,Macaulay Culkin
Joan Chen,J.K. Simmons
Greg Mottola,Bobby Lee
Anne Fletcher,Miriam Margolyes
Olivier Megaton,Jordi Mollà
Joel Schumacher,Nicolas Cage
Diane Keaton,Adam Arkin
Oliver Stone,Michael Wincott
Kelly Makin,Jeanne Tripplehorn
Mimi Leder,Kevin Spacey
Steven Brill,Lisa Ann Walter
Stephen Daldry,Tom Hanks
Russell Mulcahy,Jonathan Winters
Roger Michell,Noah Bean
Jim Sheridan,50 Cent
Christian Duguay,Michael Biehn
Peter Segal,Robert De Niro
Chuck Russell,Rufus Sewell
Chris Columbus,Rosario Dawson
Sam Weisman,Oliver Hudson
John Frankenheimer,Marlon Brando
Peter Hyams,Catherine Deneuve
Justin Chadwick,Natalie Portman
Pat O'Connor,Keanu Reeves
Penny Marshall,Ed Begley Jr.
Jean-Jacques Annaud,Rae Dawn Chong
Michael Caton-Jones,Robert De Niro
Irwin Winkler,Mira Sorvino
Joseph Kahn,Dane Cook
Wes Anderson,Bill Murray
Paul Verhoeven,Bobbie Phillips
Harold Becker,Al Pacino
Ken Kwapis,Ted Danson
J.A. Bayona,Naomi Watts
Brian Robbins,John Gatins
Sofia Coppola,Kirsten Dunst
Stephen Kay,Sylvester Stallone
Barbet Schroeder,Nicolas Cage
Stephen Herek,Angelina Jolie Pitt
Elaine May,Carol Kane
John Carpenter,Richard Epcar
Paul Weitz,Josh Hutcherson
Dennie Gordon,Mary-Kate Olsen
Ulu Grosbard,Alexa PenaVega
Charles Shyer,Omar Epps
William Malone,Natascha McElhone
Malcolm D. Lee,Bernie Mac
Pierre Morel,Ray Winstone
Mic Rodgers,Michael Jai White
Christian Alvart,Norman Reedus
Danny DeVito,Justin Theroux
Jerry Jameson,M. Emmet Walsh
S.S. Rajamouli,Tamannaah Bhatia
Gary Fleder,Gary Dourdan
Paul McGuigan,Daniel Radcliffe
Christian Duguay,Rufus Sewell
Jean-Marie Poiré,Bridgette Wilson-Sampras
Joon-ho Bong,Chris Evans
Danny Boyle,Chris Evans
Joel Coen,Jennifer Jason Leigh
Marc F. Adler,Eric Idle
Richard Shepard,James Brolin
Geoffrey Sax,Alex Pettyfer
John Woo,Takeshi Kaneshiro
Jeff Nathanson,Matthew Broderick
Peter Ho-Sun Chan,Jet Li
Bibo Bergeron,Adam Goldberg
Yuefeng Song,Blythe Auffarth
Robert Schwentke,Arliss Howard
Richard Lester,Margot Kidder
Michael Lehmann,Colin Ferguson
Tim Burton,Martin Landau
Jonathan Lynn,Austin Pendleton
Joss Whedon,Adam Baldwin
Charles S. Dutton,Omar Epps
Andy Tennant,Ethan Embry
Robert Luketic,Gerard Butler
Robert Rodriguez,Steve Buscemi
David Carson,LeVar Burton
Andy Fickman,D.B. Woodside
Thomas Vinterberg,Thomas Bo Larsen
Francis Lawrence,Robert Pattinson
Norman Jewison,Denzel Washington
David Twohy,Vin Diesel
David Mirkin,Sarah Silverman
Michael Apted,Bill Cobbs
J Blakeson,Chloë Grace Moretz
Ron Howard,Chris Hemsworth
Luis Mandoki,Sonia Braga
John Pasquin,Jim Belushi
Roman Polanski,Johnny Depp
Michael Apted,J.K. Simmons
Stephen Herek,Beth Grant
John Carpenter,Wilford Brimley
Ridley Scott,Jeff Bridges
Gil Kenan,Bill Murray
Jeb Stuart,Gregory Scott Cummins
Steve Miner,Tom Skerritt
David Leland,Hayden Christensen
Kirk Jones,Anna Kendrick
Paul Thomas Anderson,Mike Howard
Gary Fleder,Dennis Quaid
Rawson Marshall Thurber,Laura-Leigh
Ryan Coogler,Sylvester Stallone
Ben Affleck,Jeremy Renner
Ethan Coen,J.K. Simmons
Jennifer Flackett,Gerard Butler
Christian Ditter,Alison Brie
Kevin Smith,Bruce Willis
Mikael Håfström,Anthony Hopkins
Kirk De Micco,Cheryl Hines
Paul Thomas Anderson,Patton Oswalt
Cameron Crowe,Emma Stone
Fedor Bondarchuk,Yuliya Snigir
Nick Cassavetes,Denzel Washington
Les Mayfield,Peter Greene
Irvin Kershner,Bernie Casey
Steve Pink,Charlie McDermott
Jonathan Mostow,Kathleen Quinlan
Charles Martin Smith,Morgan Freeman
F. Gary Gray,Vin Diesel
John Frankenheimer,Charlize Theron
Scott Hicks,Rick Yune
Rob Reiner,Alexa PenaVega
Andrew Niccol,Blair Underwood
Andrew Bergman,Stockard Channing
Wilson Yip,Mike Tyson
Roland Joffé,Jordi Mollà
Chris Rock,Bernie Mac
John Lee Hancock,Catherine Dyer
Tim Burton,Michael Gough
Jay Roach,Muse Watson
Ethan Coen,Matt Damon
Richard Donner,Rene Russo
Seth Gordon,Jon Favreau
David Frankel,Meryl Streep
Seth Gordon,Kevin Spacey
Robert Rodriguez,Alexa PenaVega
Judd Apatow,Amy Schumer
John Lee Hancock,Tom Hanks
Robert Wise,Leonard Nimoy
Robert Luketic,Kevin Spacey
Tom Vaughan,Treat Williams
Martin Scorsese,Robert De Niro
Anthony Minghella,Colin Firth
Kevin Rodney Sullivan,Bernie Mac
Judd Apatow,Charlyne Yi
Curtis Hanson,Kevin Spacey
Mike Mitchell,Michael Angarano
Frank Oz,Tom Selleck
Tarsem Singh,Dylan Baker
Roger Donaldson,Natasha Henstridge
Dennis Dugan,Jon Lovitz
Randall Wallace,Scott Glenn
Randall Wallace,Leonardo DiCaprio
Will Gluck,Mila Kunis
Nicholas Stoller,Chloë Grace Moretz
Kevin Munroe,Chris Evans
Michael Tollin,Alfre Woodard
Walt Becker,Robin Williams
Spike Lee,Denzel Washington
Patrick Tatopoulos,Craig Parker
Gary David Goldberg,Stockard Channing
Ken Kwapis,Robin Williams
Mike Newell,Johnny Depp
John Moore,Mila Kunis
Paul W.S. Anderson,Milla Jovovich
Ethan Coen,J.K. Simmons
Luke Greenfield,Ashley Williams
Catherine Hardwicke,Keisha Castle-Hughes
Andrew Niccol,Matt Bomer
Alan Poul,Danneel Ackles
Clint Eastwood,Leonardo DiCaprio
Anne Fletcher,Jim Gaffigan
Peter Landesman,Will Smith
Mike Nichols,Natalie Portman
Steven E. de Souza,Ming-Na Wen
Gil Junger,Tom Wilkinson
Michael Ritchie,Tatum O'Neal
Roman Polanski,Emilia Fox
Albert Hughes,Johnny Depp
Alexandre Aja,Jason Flemyng
Michael Rymer,Aaliyah
Susanna White,Daniel Mays
Gregory Hoblit,Billy Burke
Stephen Hopkins,Adam Baldwin
John Singleton,Ken Arnold
Mike Hodges,Brian Blessed
Craig Mazin,Drake Bell
Hugh Wilson,Brendan Fraser
Rob Cohen,Cicely Tyson
Kevin Smith,Stephen Root
Clint Eastwood,Kevin Spacey
Danny DeVito,Frank Whaley
Tommy O'Haver,Anne Hathaway
David Koepp,Joseph Gordon-Levitt
Allen Hughes,Alona Tal
Gary Chapman,Jim Broadbent
Curtis Hanson,Robert Downey Jr.
Jake Kasdan,Tim Meadows
Shekhar Kapur,Djimon Hounsou
Roger Kumble,Brendan Fraser
Kimble Rendall,Alex Russell
Robert Redford,Meryl Streep
John Milius,Rosanna Arquette
Terrence Malick,Brad Pitt
Les Mayfield,Gregory Smith
Peter Hewitt,Kevin Zegers
Lasse Hallström,Kevin Spacey
Jean-Marc Vallée,Michiel Huisman
David Ayer,Mireille Enos
Hark Tsui,Paul Sorvino
Dominic Sena,Tom Skerritt
Ken Scott,Tom Wilkinson
Darren Aronofsky,Hugh Jackman
Robert Zemeckis,Joseph Gordon-Levitt
Justin Chadwick,Terry Pheto
Lexi Alexander,Julie Benz
Ridley Scott,Archie Panjabi
Brian De Palma,Peter Coyote
Ronny Yu,Marley Shelton
Richard Donner,Adam Baldwin
Bille August,Jim Broadbent
Gabriele Muccino,Gerard Butler
Moustapha Akkad,Oliver Reed
Ang Lee,Jeremy W. Auman
Simon West,Nicolas Cage
Joachim Rønning,Salma Hayek
Roland Joffé,Tamsin Egerton
Chris Gorak,Max Minghella
Wes Ball,Ki Hong Lee
George Tillman Jr.,Tiago Riani
Martin Scorsese,Richard E. Grant
Hugh Johnson,David Paymer
Rand Ravich,Johnny Depp
Hugh Hudson,Liam Aiken
Jeremy Degruson,Kyle Hebert
Rob Reiner,Tom Cruise
Raja Gosnell,Nia Long
Andrzej Bartkowiak,Michael Jai White
Scott Speer,Ryan Guzman
Jonathan Hensleigh,Laura Harring
Boaz Yakin,Jason Statham
Neil Marshall,Ryan Kruger
Mike Newell,Angelina Jolie Pitt
Danny Cannon,Sean Pertwee
Jean-Pierre Jeunet,Callum Rennie
Richard Marquand,Harrison Ford
Stephen Daldry,Kate Winslet
Justin Zackham,Robin Williams
David Wain,Justin Theroux
Jon Favreau,Peter Dinklage
Jon Turteltaub,Robert Duvall
Evan Goldberg,Channing Tatum
Brian Levant,James Coburn
Jared Hess,Ana de la Reguera
Richard Donner,Bill Murray
John Luessenhop,Paul Walker
Duncan Jones,Jake Gyllenhaal
Rupert Wainwright,Nia Long
George Tillman Jr.,Robert De Niro
John Whitesell,Brandon T. Jackson
Frank Marshall,Illeana Douglas
Joel Schumacher,Logan Lerman
Steven Spielberg,Christopher Lee
John Gatins,Ken Howard
David Cronenberg,Viggo Mortensen
Don Scardino,Steve Buscemi
Sam Raimi,Leonardo DiCaprio
Peter Howitt,Frances Fisher
Nanette Burstein,Rob Riggle
Martin Scorsese,Nicolas Cage
Miguel Sapochnik,Alice Braga
Norman Jewison,Haley Joel Osment
Mark Dindal,George Kennedy
Tim Robbins,Bill Murray
Steven Soderbergh,Tony Curran
Francis Ford Coppola,Harrison Ford
Ariel Vromen,Gary Oldman
Robert Zemeckis,Denzel Washington
Stephen Herek,Alicia Witt
Sydney Pollack,Meryl Streep
Lewis Gilbert,Desmond Llewelyn
Wes Anderson,Bill Murray
John Francis Daley,Chris Hemsworth
Gregory Hoblit,Dennis Quaid
Scott Hicks,Anthony Hopkins
Tom Vaughan,Harrison Ford
John Lasseter,Tom Hanks
Rob Marshall,Colm Feore
Dennis Dugan,Steve Buscemi
J.B. Rogers,Alyson Hannigan
Michael Sucsy,Channing Tatum
Jan de Bont,Keanu Reeves
John McTiernan,Scott Glenn
Lee Daniels,Alex Pettyfer
Boaz Yakin,Ryan Gosling
Neill Blomkamp,Sharlto Copley
Rawson Marshall Thurber,Gary Cole
Barry Sonnenfeld,Anjelica Huston
Steve Oedekerk,Bruce Spence
Garry Marshall,Anne Hathaway
Harold Ramis,Robert De Niro
Hugh Wilson,Stockard Channing
Clint Eastwood,Clint Eastwood
David Fincher,Morgan Freeman
Clint Eastwood,John Doman
Stephen Hillenburg,Scarlett Johansson
Jason Reitman,J.K. Simmons
Nick Cassavetes,Ryan Gosling
Peter Chelsom,Emily Osment
Anne Fletcher,Judy Greer
Stig Bergqvist,Elizabeth Daily
Barbra Streisand,George Carlin
John Singleton,Josh Charles
Edward Zwick,Anthony Hopkins
Rian Johnson,Joseph Gordon-Levitt
Jonathan Levine,Cory Hardrict
Alexander Payne,Hope Davis
Peter Lepeniotis,Liam Neeson
Chris Weitz,Chazz Palminteri
Chris Noonan,Miriam Margolyes
David Frankel,Meryl Streep
Nicholas Stoller,Mila Kunis
,Zach Gilford
Michael McCullers,Tina Fey
Forest Whitaker,Bill Cobbs
Gary Winick,Anne Hathaway
Steven Brill,Antony Starr
Gary Winick,Jennifer Garner
Woody Allen,Kurt Fuller
Steve Box,Mark Gatiss
Richard LaGravenese,Gerard Butler
Tim Burton,Johnny Depp
Gary Winick,Vanessa Redgrave
Ted Demme,Johnny Depp
Luis Mandoki,Robin Wright
Antoine Fuqua,Jake Gyllenhaal
William Shatner,Leonard Nimoy
John Schultz,Brenda Song
Peter Segal,George Kennedy
Joe Wright,Benedict Cumberbatch
John Glen,Patrick Macnee
Frederik Du Chau,Bruce Greenwood
Denis Villeneuve,Edgar Arreola
Ridley Scott,Stephen Root
Bobby Farrelly,Kate Upton
James Gartner,Mehcad Brooks
Lee Toland Krieger,Harrison Ford
Jon M. Chu,Alyson Stoner
Sam Raimi,Bojana Novakovic
Drew Goddard,Chris Hemsworth
Tim McCanlies,Haley Joel Osment
Marc Forster,Will Ferrell
John Stockwell,Faizon Love
David Slade,Danny Huston
Frank Oz,Bill Murray
Phil Joanou,Dwayne Johnson
Martin Brest,Robert De Niro
Jason Friedberg,Carmen Electra
Paul Michael Glaser,Yaphet Kotto
John R. Leonetti,Brian Thompson
Tom Hanks,Tom Hanks
Liz Friedlander,Alfre Woodard
Edward Zwick,Jake Gyllenhaal
Angelo Pizzo,Donny Boaz
Sam Weisman,Bernie Mac
Shane Acker,Martin Landau
Scott Derrickson,Olivia Munn
Tate Taylor,Tika Sumpter
Nicholas Stoller,Alison Brie
Martha Coolidge,Devin Ratray
Stephen J. Anderson,Craig Ferguson
Warren Beatty,Warren Beatty
Troy Miller,Elden Henson
Carl Franklin,Meryl Streep
Alister Grierson,Ioan Gruffudd
Ivan Reitman,Rainn Wilson
Charles Stone III,Bernie Mac
Paul Haggis,Olivia Wilde
Nick Hurran,Holly Hunter
Jean-François Richet,Brian Dennehy
Brad Furman,Justin Timberlake
Antoine Fuqua,Mira Sorvino
Kurt Wimmer,Milla Jovovich
Niki Caro,Jeremy Renner
Ellory Elkayem,Scarlett Johansson
Kevin Hooks,Salma Hayek
Vincenzo Natali,Sarah Polley
Jon Avnet,Al Pacino
Howard Deutch,Bruce Willis
Willard Huyck,Lea Thompson
Gavin O'Connor,Jennifer Ehle
Bruce Hunt,Eddie Cibrian
Nick Hamm,Robert De Niro
Rob Reiner,David Paymer
Paul McGuigan,Jessica Paré
Terrence Malick,Christian Bale
Jee-woon Kim,Zach Gilford
Neil Jordan,Robert Downey Jr.
Chris Roberts,Saffron Burrows
Peter Howitt,Tyler Labine
Niels Arden Oplev,Dominic Cooper
Mike Disa,Amy Poehler
James Wong,Ian Whyte
Lasse Hallström,Morgan Freeman
Terry Gilliam,Andrew Garfield
Richard J. Lewis,Mark Addy
Sergio Leone,Robert De Niro
Andrew Dominik,Brad Pitt
Michael Radford,Al Pacino
Neil Jordan,Emir Kusturica
Steve Boyum,Channing Tatum
Chris Noonan,Emily Watson
Marc Forster,Gerard Butler
Corey Yuen,Steve Howey
Laurent Tirard,Louise Bourgoin
Simon West,Jason Statham
Frédéric Auburtin,Fisher Stevens
Olivier Dahan,Paz Vega
Elizabeth Banks,Anna Kendrick
James Mangold,Sandra Ellis Lafferty
Ben Falcone,Peter Dinklage
Robert Rodriguez,Johnny Depp
Edward Norton,Lisa Edelstein
Peter Hewitt,Jim Broadbent
Ron Howard,Toby Jones
Don Mancini,Jason Flemyng
Reginald Hudlin,Matthew Perry
George Clooney,Dick Clark
Ang Lee,Imelda Staunton
Richard Attenborough,Denzel Washington
Stephen Frears,Meryl Streep
Lawrence Kasdan,Zooey Deschanel
John Maybury,Jennifer Jason Leigh
Ron Clements,Robin Williams
Steven Spielberg,Harrison Ford
F. Gary Gray,Aldis Hodge
Igor Kovalyov,Elizabeth Daily
John McTiernan,Alan Rickman
Lee Tamahori,Morgan Freeman
Lasse Hallström,David Lyons
Adam McKay,Ryan Gosling
David Wain,Joe Lo Truglio
Miguel Arteta,Bella Thorne
Gavin O'Connor,Eddie Cahill
Jon Turteltaub,Robert De Niro
Adam Shankman,Matthew McConaughey
John Glen,Julian Glover
Wes Anderson,Bill Murray
James Mangold,Clea DuVall
Peter Chelsom,Lilli Lavine
Matthew Vaughn,Elizabeth McGovern
Peter Hyams,Mia Sara
Scott Hicks,Zoë Kravitz
Kenny Ortega,Vinessa Shaw
Joe Wright,Talulah Riley
Ruben Fleischer,Bianca Kajlich
Patrick Lussier,Gerard Butler
Ridley Scott,Harrison Ford
Michael Caton-Jones,Liam Neeson
McG,Connie Nielsen
Jeff Wadlow,Chloë Grace Moretz
James Gray,Robert Duvall
Scott Frank,Liam Neeson
Brian Levant,Madeline Carroll
Camille Delamarre,Paul Walker
Donald Petrie,Samaire Armstrong
Janusz Kaminski,Philip Baker Hall
Jacques Perrin,Jacques Perrin
Burr Steers,Matt Smith
Jay Roach,Scott Grimes
John Carpenter,Jason Statham
Michael Ritchie,Mara Wilson
David Gordon Green,Dominic Flores
Martin Scorsese,Tenzin Thuthob Tsarong
Robert B. Weide,James Corden
Judd Apatow,Harold Ramis
John Glen,Louis Jourdan
Nick Cassavetes,Jason Patric
Malcolm D. Lee,Mo'Nique
Todd Graff,Dolly Parton
David Lean,Richard Wilson
Richard Eyre,Phil Davis
Gavin Hood,J.K. Simmons
Roland Emmerich,Vanessa Redgrave
Nicholas Meyer,Leonard Nimoy
Callie Khouri,Ellen Burstyn
Gary Fleder,Morgan Freeman
John Landis,John Belushi
Sanaa Hamri,America Ferrera
Jodie Foster,Julia Roberts
Chris Weitz,Sharon Small
Robert Rodriguez,Alexa PenaVega
Steve Miner,Oliver Platt
Paul McGuigan,Bruce Willis
Philip Kaufman,Dennis Quaid
Alex Proyas,Rufus Sewell
Saul Dibb,Dominic Cooper
Christian Alvart,Bradley Cooper
,Jackie Gleason
Walter Murch,Piper Laurie
Richard Linklater,Matthew McConaughey
E. Elias Merhige,Harry Lennix
Menno Meyjes,Oliver Platt
Ronny Yu,Meat Loaf
Renny Harlin,LL Cool J
Barry Levinson,Robert De Niro
Norman Jewison,Charlotte Rampling
Steve Carr,Erick Avari
Mark Waters,Jamie Lee Curtis
Judd Apatow,Steve Carell
John Madden,Tom Wilkinson
Ivan Reitman,Richard Tyson
David Gordon Green,James Franco
Jonathan Demme,Denzel Washington
Andy Tennant,Anjelica Huston
Joel Schumacher,Julia Roberts
Kevin Costner,Robert Duvall
Wes Craven,Robert Pine
Garry Marshall,Robert De Niro
Richard Attenborough,Ryan O'Neal
Michael Bay,Dwayne Johnson
David R. Ellis,Sarah Carter
Joel Coen,Holly Hunter
Paul Weitz,Scarlett Johansson
Scott Stewart,Dennis Quaid
Jonathan Frakes,Michael Biehn
Lawrence Kasdan,Scott Glenn
Michael Hoffman,Luke Bracey
Kevin Allen,Daniel Roebuck
Michael Cristofer,Angelina Jolie Pitt
James McTeigue,Pam Ferris
Donald Petrie,Rip Torn
Tarsem Singh,Ryan Reynolds
Woody Allen,Woody Allen
